"iso3c","iso2c","capital_city","longitude","latitude","region","region_iso3c","income_level","income_level_iso3c","lending_type","standard_imf","bop_imf","short_name","long_name","wb2code","cen_popu","cen_agri","cen_bizz","svy_hous","svy_agri","svy_labr","svy_hlth","svy_bizz","system_na","baseyr_na","classif_industry","cpi_year","classif_hh_consump","compil_finance","compil_monetary","bizz_process","classif_emp","status_account","nso_name","nso_uri","wb_uri","spi_gap_url"
"LBY","LY","Tripoli",13.1072,32.8578,"Middle East & North Africa","MEA","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Libya","Socialist People's Libyan Arab Jamahiriya","LY","2006","2001",NA,NA,NA,"2012","2009",NA,"1993 System of National Accounts methodology","2013","rev3","2008","COICOP","other","SRFs Not Reported",NA,NA,"Otherwise"," Bureau of Statistics and Census Libya","http://www.bsc.ly/","https://www.worldbank.org/en/country/libya",NA
"LCA","LC","Castries",-60.9832,14,"Latin America & Caribbean","LCN","Upper middle income","UMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","St. Lucia","St. Lucia","LC","2022","2007",NA,"2015",NA,"2022","2012",NA,"2008 System of National Accounts methodology","2018","rev3","2018","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Saint Lucian Government Statistics Department","http://www.stats.gov.lc/","https://www.worldbank.org/en/country/caribbean",NA
"LIE","LI","Vaduz",9.52148,47.1411,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Liechtenstein","Principality of Liechtenstein","LI",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","1998",NA,NA,NA,NA,NA,NA,NA,NA," Bureau of Statistics","http://www.as.llv.li/",NA,NA
"LKA","LK","Colombo",79.8528,6.92148,"South Asia","SAS","Lower middle income","LMC","IDA","Special Data Dissemination Standard (SDDS)","BPM6","Sri Lanka","Democratic Socialist Republic of Sri Lanka","LK","2012","2013","2013","2019","2016","2022","2014","2018","2008 System of National Accounts methodology","2015","rev4","2021","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Department of Census and Statistics","http://www.statistics.gov.lk/","https://www.worldbank.org/en/country/srilanka",NA
"LSO","LS","Maseru",27.7167,-29.5208,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Lesotho","Kingdom of Lesotho","LS","2016","2020",NA,"2017","2018","2019","2018",NA,"2008 System of National Accounts methodology","2012","rev3","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Lesotho Bureau of Statistics","http://www.bos.gov.ls/","https://www.worldbank.org/en/country/lesotho",NA
"LTU","LT","Vilnius",25.2799,54.6896,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Lithuania","Republic of Lithuania","LT","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Statistics Lithuania","http://www.stat.gov.lt/","https://www.worldbank.org/en/country/lithuania",NA
"LUX","LU","Luxembourg",6.1296,49.61,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Luxembourg","Grand Duchy of Luxembourg","LU","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," STATEC","http://www.statec.lu/","https://www.worldbank.org/en/country/luxembourg",NA
"LVA","LV","Riga",24.1048,56.9465,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Latvia","Republic of Latvia","LV","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Central Statistical Bureau of Latvia","http://www.csb.lv/","https://www.worldbank.org/en/country/latvia",NA
"MAC","MO",NA,113.55,22.1667,"East Asia & Pacific","EAS","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Macao SAR, China","Macao Special Administrative Region of the People's Republic of China","MO",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.",NA,"2018","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Statistics and Census Service","http://www.dsec.gov.mo/",NA,NA
"MAF","MF","Marigot",NA,NA,"Latin America & Caribbean","LCN","High income","HIC","Not classified",NA,NA,"St. Martin (French part)","St. Martin (French part)","MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Department of Statistics","http://www.sintmaartengov.org/Government/Ministry of Tourism Economic Affairs Transport and Telecommunication/stat/Pages/Statistics.aspx",NA,NA
"MAR","MA","Rabat",-6.8704,33.9905,"Middle East & North Africa","MEA","Lower middle income","LMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Morocco","Kingdom of Morocco","MA","2014","2016","2001","2013","2021","2019","2018","2019","2008 System of National Accounts methodology","2014","rev3","2017","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,"ICSE-93",NA," Direction de la Statistique","http://www.hcp.ma/","https://www.worldbank.org/en/country/morocco",NA
"MCO","MC","Monaco",7.41891,43.7325,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Monaco","Principality of Monaco","MC",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.",NA,NA,NA,NA,NA,NA,NA,NA," Official Government Portal","http://www.gouv.mc/",NA,NA
"MDA","MD","Chisinau",28.8497,47.0167,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Moldova","Republic of Moldova","MD","2014","2011",NA,"2022",NA,"2023","2012","2020","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," National Bureau of Statistics","http://www.statistica.md/?lang=en","https://www.worldbank.org/en/country/moldova",NA
"MDG","MG","Antananarivo",45.7167,-20.4667,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Madagascar","Republic of Madagascar","MG","2018","2004",NA,"2012",NA,"2015","2021",NA,"1993 System of National Accounts methodology","2007","ISIC rev2","2016","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Institut National de la Statistique","http://www.instat.mg/","https://www.worldbank.org/en/country/madagascar",NA
"MDV","MV","Male",73.5109,4.1742,"South Asia","SAS","Upper middle income","UMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Maldives","Republic of Maldives","MV","2022",NA,NA,"2019",NA,NA,"2016","2013","2008 System of National Accounts methodology","2019","rev4","2022","COICOP 2018",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Department of National Planning","http://www.planning.gov.mv/","https://www.worldbank.org/en/country/maldives",NA
"MEX","MX","Mexico City",-99.1276,19.427,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Mexico","United Mexican States","MX","2020","2022",NA,"2022","2019","2023","2015","2019","2008 System of National Accounts methodology","2018","rev4","2018","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","NAICS","cash recording basis"," Instituto Nacional de Estadística, Geografía (INEGI)","http://www.inegi.org.mx/","https://www.worldbank.org/en/country/mexico",NA
"MHL","MH","Majuro",171.135,7.11046,"East Asia & Pacific","EAS","Upper middle income","UMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Marshall Islands","Republic of the Marshall Islands","MH","2021","2021",NA,"2019",NA,NA,"2007",NA,"1993 System of National Accounts methodology","2014/15",NA,NA,"IMF doesn't report CPI data for this country",NA,"Non-Reporter",NA,NA,NA," Embassy of the Republic of the Marshall Islands","http://www.rmiembassyus.org/","https://www.worldbank.org/en/country/pacificislands",NA
"MKD","MK","Skopje",21.4361,42.0024,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","North Macedonia","Republic of North Macedonia","MK","2021","2020",NA,"2019","2016","2023","2018","2019","1993 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2010","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"cash recording basis"," State Statistical Office","http://www.stat.gov.mk/","https://www.worldbank.org/en/country/northmacedonia",NA
"MLI","ML","Bamako",-7.50034,13.5667,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Mali","Republic of Mali","ML","2022","2005",NA,"2021","2022","2020","2018","2007","1993 System of National Accounts methodology","1999","rev3","2014","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," l’Institut National de la Statistique","http://www.instat-mali.org/","https://www.worldbank.org/en/country/mali",NA
"MLT","MT","Valletta",14.5189,35.9042,"Middle East & North Africa","MEA","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Malta","Republic of Malta","MT","2011","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2016","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," National Statistics Office","http://www.nso.gov.mt/",NA,NA
"MMR","MM","Naypyidaw",95.9562,21.914,"East Asia & Pacific","EAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Myanmar","Republic of the Union of Myanmar","MM","2014","2010",NA,"2017","2022","2020","2015","2017","2008 System of National Accounts methodology","2015","na","2012","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Central Statistical Organization","http://www.csostat.gov.mm/","https://www.worldbank.org/en/country/myanmar",NA
"MNE","ME","Podgorica",19.2595,42.4602,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Montenegro","Montenegro","ME","2023","2010",NA,"2022","2016","2022","2018",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," Statistical Office of Montenegro","http://www.monstat.org/","https://www.worldbank.org/en/country/montenegro",NA
"MNG","MN","Ulaanbaatar",106.937,47.9129,"East Asia & Pacific","EAS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Mongolia","Mongolia","MN","2020","2011",NA,"2022","2018","2023","2018",NA,"2008 System of National Accounts methodology","2015","rev3","2020","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,"ICSE-93","cash recording basis"," National Statistical Office","http://www.nso.mn/","https://www.worldbank.org/en/country/mongolia",NA
"MNP","MP","Saipan",145.765,15.1935,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,NA,"Northern Mariana Islands","Commonwealth of the Northern Mariana Islands","MP",NA,NA,NA,NA,NA,NA,NA,NA,"1968 System of National Accounts methodology","2012",NA,NA,NA,NA,NA,NA,NA,NA," Department of Commerce: Central Statistics Division","http://commerce.gov.mp/divisions/central-statistics/",NA,NA
"MOZ","MZ","Maputo",32.5713,-25.9664,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Mozambique","Republic of Mozambique","MZ","2017","2009","2015","2019","2022","2004","2018",NA,"2008 System of National Accounts methodology","2019","rev3","annual chained","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de Estatistica","http://www.ine.gov.mz/","https://www.worldbank.org/en/country/mozambique",NA
"MRT","MR","Nouakchott",-15.9824,18.2367,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Mauritania","Islamic Republic of Mauritania","MR","2013",NA,NA,"2019","2023","2017","2019",NA,"2008 System of National Accounts methodology","2014","rev4","2019","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Office National de la Statistique","http://www.ons.mr/","https://www.worldbank.org/en/country/mauritania",NA
"MUS","MU","Port Louis",57.4977,-20.1605,"Sub-Saharan Africa","SSF","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Mauritius","Republic of Mauritius","MU","2022","2014",NA,"2019","2005","2022","2011",NA,"2008 System of National Accounts methodology","2018","rev4","2017","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,"ICSE-93","noncash recording basis"," Statistics Mauritius Office","http://statsmauritius.govmu.org/English/Pages/default.aspx","https://www.worldbank.org/en/country/mauritius",NA
"MWI","MW","Lilongwe",33.7703,-13.9899,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Malawi","Republic of Malawi","MW","2018","2006","2016","2019","2020","2013","2019","2013","2008 System of National Accounts methodology","2017","rev3","2021","COICOP","1986","SRFs Not Reported",NA,NA,NA," National Statistical Office of Malawi","http://www.nsomalawi.mw/","https://www.worldbank.org/en/country/malawi",NA
"MYS","MY","Kuala Lumpur",101.684,3.12433,"East Asia & Pacific","EAS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Malaysia","Malaysia","MY","2020","2005",NA,"2021","2014","2022","2022","2017","2008 System of National Accounts methodology","2015","rev4","2010","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," Department of Statistics Malaysia","https://www.dosm.gov.my/v1/","https://www.worldbank.org/en/country/malaysia",NA
"NAM","NA","Windhoek",17.0931,-22.5648,"Sub-Saharan Africa","SSF","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Namibia","Republic of Namibia","NA","2023","2014","2019","2015",NA,"2018","2013",NA,"2008 System of National Accounts methodology","2015","rev3","2012","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Central Bureau of Statistics","http://www.npc.gov.na/cbs/index.htm","https://www.worldbank.org/en/country/namibia",NA
"NCL","NC","Noum'ea",166.464,-22.2677,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,"BPM6","New Caledonia","New Caledonia","NC",NA,NA,NA,NA,NA,"2022",NA,NA,"2008 System of National Accounts methodology","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NER","NE","Niamey",2.1073,13.514,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Niger","Republic of Niger","NE","2012","2004","2022","2021","2022","2017","2021",NA,"2008 System of National Accounts methodology","2015","rev4","2014","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Institut National de la Statistique","http://www.stat-niger.org/","https://www.worldbank.org/en/country/niger",NA
"NGA","NG","Abuja",7.48906,9.05804,"Sub-Saharan Africa","SSF","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Nigeria","Federal Republic of Nigeria","NG","2006","2006",NA,"2018","2021","2022","2021",NA,"2008 System of National Accounts methodology","2010","rev4","2009","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," National Bureau of Statistics","http://www.nigerianstat.gov.ng/","https://www.worldbank.org/en/country/nigeria",NA
"NIC","NI","Managua",-86.2734,12.1475,"Latin America & Caribbean","LCN","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Nicaragua","Republic of Nicaragua","NI","2005","2011","2010","2016",NA,"2019","2010",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev3","2006","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de InformaciÃ³n de Desarrollo (INIDE)","http://www.inide.gob.ni/","https://www.worldbank.org/en/country/nicaragua",NA
"NLD","NL","Amsterdam",4.89095,52.3738,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Netherlands","Kingdom of the Netherlands","NL","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Netherlands","http://www.cbs.nl/","https://www.worldbank.org/en/country/netherlands",NA
"NOR","NO","Oslo",10.7387,59.9138,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Norway","Kingdom of Norway","NO","2021","2020",NA,"2022","2021","2022","2003","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Norway","http://www.ssb.no/","https://www.worldbank.org/en/country/norway",NA
"NPL","NP","Kathmandu",85.3157,27.6939,"South Asia","SAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Nepal","Nepal","NP","2021","2021","2018","2019",NA,"2017","2022","2008","2008 System of National Accounts methodology","2010/11","rev3","2014","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Central Bureau of Statistics","http://www.cbs.gov.np/","https://www.worldbank.org/en/country/nepal",NA
"NRU","NR","Yaren District",166.920867,-0.5477,"East Asia & Pacific","EAS","High income","HIC","IBRD",NA,NA,"Nauru","Republic of Nauru","NR","2021","2021",NA,"2012",NA,NA,NA,NA,"1993 System of National Accounts methodology","2013",NA,NA,NA,NA,NA,NA,NA,"Otherwise"," Nauru Bureau of Statistics","http://www.spc.int/prism/country/nr/stats/",NA,NA
"NZL","NZ","Wellington",174.776,-41.2865,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,"BPM6","New Zealand","New Zealand","NZ","2018","2017",NA,"2022","2023","2022","2023","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," Statistics New Zealand","http://www.stats.govt.nz/",NA,NA
"OMN","OM","Muscat",58.5874,23.6105,"Middle East & North Africa","MEA","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Oman","Sultanate of Oman","OM","2020","2013",NA,"2018",NA,NA,"2014","2001","2008 System of National Accounts methodology","2018","rev3","2012","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," National Center for Statistics & Information","http://www.ncsi.gov.om/NCSI_website/NCSI_EN.aspx","https://www.worldbank.org/en/country/gcc",NA
"PAK","PK","Islamabad",72.8,30.5167,"South Asia","SAS","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Pakistan","Islamic Republic of Pakistan","PK","2017","2010",NA,"2018","2022","2021","2019",NA,"2008 System of National Accounts methodology","2015/16","rev4","2015","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Federal Bureau of Statistics","http://www.pbs.gov.pk/","https://www.worldbank.org/en/country/pakistan",NA
"PAN","PA","Panama City",-79.5188,8.99427,"Latin America & Caribbean","LCN","High income","HIC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Panama","Republic of Panama","PA","2023","2011",NA,"2023",NA,"2023","2013","2019","1993 System of National Accounts methodology","Original chained constant price data are rescaled.","rev3","2013","COICOP","other","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Dirección Nacional de Estadística y Censo","http://www.contraloria.gob.pa/inec/","https://www.worldbank.org/en/country/panama",NA
"PER","PE","Lima",-77.0465,-12.0931,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Peru","Republic of Peru","PE","2017","2012",NA,"2022","2018","2023","2018","2018","2008 System of National Accounts methodology","2007","rev4","2021","Non-COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Instituto Nacional de Estadística e Informática (INEI)","http://www.inei.gob.pe/","https://www.worldbank.org/en/country/peru",NA
"PHL","PH","Manila",121.035,14.5515,"East Asia & Pacific","EAS","Lower middle income","LMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Philippines","Republic of the Philippines","PH","2015","2012","2018","2021","2022","2022","2022","2018","2008 System of National Accounts methodology","2018","rev3","2018","COICOP 2018","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Philippine Statistics Authority","http://www.psa.gov.ph/","https://www.worldbank.org/en/country/philippines",NA
"PLW","PW","Koror",134.479,7.34194,"East Asia & Pacific","EAS","High income","HIC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Palau","Republic of Palau","PW","2015","2020",NA,"2013",NA,NA,NA,NA,"1993 System of National Accounts methodology","2019","rev4",NA,"COICOP","2014","Non-Reporter",NA,NA,NA," Palau Statistics","http://www.palaugov.net/stats/","https://www.worldbank.org/en/country/pacificislands",NA
"PNG","PG","Port Moresby",147.194,-9.47357,"East Asia & Pacific","EAS","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Papua New Guinea","The Independent State of Papua New Guinea","PG","2011",NA,NA,"2009",NA,NA,"2016",NA,"1993 System of National Accounts methodology","2013",NA,NA,"COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," National Statistical Office of Papua New Guinea","http://www.nso.gov.pg/","https://www.worldbank.org/en/country/png",NA
"POL","PL","Warsaw",21.02,52.26,"Europe & Central Asia","ECS","High income","HIC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Poland","Republic of Poland","PL","2021","2020",NA,"2022","2020","2023","2020","2018","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Poland","http://www.stat.gov.pl/","https://www.worldbank.org/en/country/poland",NA
"PRI","PR","San Juan",-66,18.23,"Latin America & Caribbean","LCN","High income","HIC","Not classified",NA,NA,"Puerto Rico","Puerto Rico","PR","2000",NA,NA,NA,NA,NA,NA,NA,"1968 System of National Accounts methodology","1953/54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRK","KP","Pyongyang",125.754,39.0319,"East Asia & Pacific","EAS","Low income","LIC","Not classified",NA,NA,"Dem. People's Rep. Korea","Democratic People's Republic of Korea","KP",NA,NA,NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRT","PT","Lisbon",-9.13552,38.7072,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Portugal","Portuguese Republic","PT","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Instituto Nacional de Estatística","http://www.ine.pt/","https://www.worldbank.org/en/country/portugal",NA
"PRY","PY","Asuncion",-57.6362,-25.3005,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Paraguay","Republic of Paraguay","PY","2022","2022",NA,"2022","2014","2017","2016","2016","2008 System of National Accounts methodology","2014","rev4","2017","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," Dirección General de Estadìstica, Encuestas y Censos","http://www.dgeec.gov.py/","https://www.worldbank.org/en/country/paraguay",NA
"PSE","PS",NA,NA,NA,"Middle East & North Africa","MEA","Lower middle income","LMC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","West Bank and Gaza","West Bank and Gaza","GZ","2017","2021",NA,"2016","2015","2022","2019","2018","2008 System of National Accounts methodology","2015","rev4",NA,NA,"2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis",NA,NA,"https://www.worldbank.org/en/country/westbankandgaza",NA
"PYF","PF","Papeete",-149.57,-17.535,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,"BPM6","French Polynesia","French Polynesia","PF",NA,NA,NA,NA,NA,NA,NA,NA,"1993 System of National Accounts methodology","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QAT","QA","Doha",51.5082,25.2948,"Middle East & North Africa","MEA","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Qatar","State of Qatar","QA","2015","2000",NA,"2012",NA,"2020","2012","2023","1993 System of National Accounts methodology","2018","rev3","2018","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"Otherwise"," Statistics Authority","http://www.qsa.gov.qa/eng/index.htm","https://www.worldbank.org/en/country/gcc",NA
"ROU","RO","Bucharest",26.0979,44.4479,"Europe & Central Asia","ECS","High income","HIC","IBRD","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Romania","Romania","RO","2022","2020",NA,"2021","2016","2022","2019","2018","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2015","Non-COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," National Institute of Statistics","http://www.insse.ro/","https://www.worldbank.org/en/country/romania",NA
"RUS","RU","Moscow",37.6176,55.7558,"Europe & Central Asia","ECS","High income","HIC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Russia","Russian Federation","RU","2021","2016",NA,"2020","2014","2023","2008","2015","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","NACE REV2","2010","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Federal State Statistics Service","http://www.gks.ru/","https://www.worldbank.org/en/country/russia",NA
"RWA","RW","Kigali",30.0587,-1.95325,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Rwanda","Republic of Rwanda","RW","2022","2022","2022","2018","2020","2023","2019","2018","2008 System of National Accounts methodology","2017","rev4","2014","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," National Institute of Statistics of Rwanda","http://www.statistics.gov.rw/","https://www.worldbank.org/en/country/rwanda",NA
